,name,color,species,link
78,Rocker_82,Red,Scorchio,https://www.stuckpets.com/adopt/Rocker_82
79,Rolepl,Red,Scorchio,https://www.stuckpets.com/adopt/Rolepl
80,silvia_andre,Red,Scorchio,https://www.stuckpets.com/adopt/silvia_andre
81,spitfire165,Red,Scorchio,https://www.stuckpets.com/adopt/spitfire165
82,Spitfire468,Red,Scorchio,https://www.stuckpets.com/adopt/Spitfire468
83,Spitfire58,Red,Scorchio,https://www.stuckpets.com/adopt/Spitfire58
84,spitfire_106,Red,Scorchio,https://www.stuckpets.com/adopt/spitfire_106
85,spitfire_159,Red,Scorchio,https://www.stuckpets.com/adopt/spitfire_159
86,Starredful,Red,Scorchio,https://www.stuckpets.com/adopt/Starredful
87,Steamy_Hot,Red,Scorchio,https://www.stuckpets.com/adopt/Steamy_Hot
88,Strahleman,Red,Scorchio,https://www.stuckpets.com/adopt/Strahleman
89,sunburn_man,Red,Scorchio,https://www.stuckpets.com/adopt/sunburn_man
90,Bubukks,Blue,JubJub,https://www.stuckpets.com/adopt/Bubukks
91,curly_amina,Blue,JubJub,https://www.stuckpets.com/adopt/curly_amina
92,frannsisca,Blue,JubJub,https://www.stuckpets.com/adopt/frannsisca
93,frannybass,Blue,JubJub,https://www.stuckpets.com/adopt/frannybass
94,kriikys,Blue,Jubjub,https://www.stuckpets.com/adopt/kriikys
95,Krishiney,Blue,JubJub,https://www.stuckpets.com/adopt/Krishiney
96,krishna468,Blue,JubJub,https://www.stuckpets.com/adopt/krishna468
97,kylie_kyle,Blue,JubJub,https://www.stuckpets.com/adopt/kylie_kyle
98,Miku303,Blue,JubJub,https://www.stuckpets.com/adopt/Miku303
99,Pretty_Sea_Lily,Blue,JubJub,https://www.stuckpets.com/adopt/Pretty_Sea_Lily
100,Rusty_249,Blue,JubJub,https://www.stuckpets.com/adopt/Rusty_249
101,Rutiinha,Blue,JubJub,https://www.stuckpets.com/adopt/Rutiinha
102,shirley55,Blue,JubJub,https://www.stuckpets.com/adopt/shirley55
103,Snoopy_Jesse,Blue,JubJub,https://www.stuckpets.com/adopt/Snoopy_Jesse
104,snowberry99,Blue,JubJub,https://www.stuckpets.com/adopt/snowberry99
105,Snowdrop1324,Blue,JubJub,https://www.stuckpets.com/adopt/Snowdrop1324
106,SnowDrop369,Blue,JubJub,https://www.stuckpets.com/adopt/SnowDrop369
107,snowflaketyler,Blue,JubJub,https://www.stuckpets.com/adopt/snowflaketyler
108,snow_white_121,Blue,JubJub,https://www.stuckpets.com/adopt/snow_white_121
109,snuffles_19,Blue,JubJub,https://www.stuckpets.com/adopt/snuffles_19
110,SnufflyBuff,Blue,JubJub,https://www.stuckpets.com/adopt/SnufflyBuff
111,Snuffly_Girl,Blue,JubJub,https://www.stuckpets.com/adopt/Snuffly_Girl
112,Soultraini,Blue,JubJub,https://www.stuckpets.com/adopt/Soultraini
113,Sparkle_1056,Blue,JubJub,https://www.stuckpets.com/adopt/Sparkle_1056
114,Sparky_Hannah,Blue,JubJub,https://www.stuckpets.com/adopt/Sparky_Hannah
115,spiffy_sweet,Blue,JubJub,https://www.stuckpets.com/adopt/spiffy_sweet
116,spinelli215,Blue,JubJub,https://www.stuckpets.com/adopt/spinelli215
117,spinner189,Blue,JubJub,https://www.stuckpets.com/adopt/spinner189
118,spitfire799,Blue,JubJub,https://www.stuckpets.com/adopt/spitfire799
119,Splash_2,Blue,JubJub,https://www.stuckpets.com/adopt/Splash_2
120,Sprinkles204,Blue,JubJub,https://www.stuckpets.com/adopt/Sprinkles204
121,star_lady_princess,Blue,JubJub,https://www.stuckpets.com/adopt/star_lady_princess
122,Star_Light_Start,Blue,JubJub,https://www.stuckpets.com/adopt/Star_Light_Start
123,star_luna_cassy,Blue,JubJub,https://www.stuckpets.com/adopt/star_luna_cassy
124,Suicuneey,Blue,JubJub,https://www.stuckpets.com/adopt/Suicuneey
125,Sukijub,Blue,JubJub,https://www.stuckpets.com/adopt/Sukijub
126,suki_pink,Blue,JubJub,https://www.stuckpets.com/adopt/suki_pink
127,sundae452,Blue,JubJub,https://www.stuckpets.com/adopt/sundae452
128,sundance22,Blue,JubJub,https://www.stuckpets.com/adopt/sundance22
129,sunny_213,Blue,JubJub,https://www.stuckpets.com/adopt/sunny_213
130,sweetheart_99,Blue,JubJub,https://www.stuckpets.com/adopt/sweetheart_99
131,sweety234,Blue,JubJub,https://www.stuckpets.com/adopt/sweety234
132,sweet_cheeks95,Blue,JubJub,https://www.stuckpets.com/adopt/sweet_cheeks95
133,sweet_lil_irene,Blue,JubJub,https://www.stuckpets.com/adopt/sweet_lil_irene
134,Tinamartina,Blue,JubJub,https://www.stuckpets.com/adopt/Tinamartina
135,Tink_37,Blue,JubJub,https://www.stuckpets.com/adopt/Tink_37
136,Tonicarl,Blue,JubJub,https://www.stuckpets.com/adopt/Tonicarl
137,Twinkyma,Blue,JubJub,https://www.stuckpets.com/adopt/Twinkyma
138,Frozen_Tree,Christmas,JubJub,https://www.stuckpets.com/adopt/Frozen_Tree
139,Rocky_236,Christmas,JubJub,https://www.stuckpets.com/adopt/Rocky_236
140,Brave_Drew,Blue,Grarrl,https://www.stuckpets.com/adopt/Brave_Drew
141,cintymk,Blue,Grarrl,https://www.stuckpets.com/adopt/cintymk
142,Claus297,Blue,Grarrl,https://www.stuckpets.com/adopt/Claus297
143,claw758,Blue,Grarrl,https://www.stuckpets.com/adopt/claw758
144,JuRaSsIc_PaRk321,Blue,Grarrl,https://www.stuckpets.com/adopt/JuRaSsIc_PaRk321
145,king_BGC,Blue,Grarrl,https://www.stuckpets.com/adopt/king_BGC
146,KYOTERRY,Blue,Grarrl,https://www.stuckpets.com/adopt/KYOTERRY
147,lokmark,Blue,Grarrl,https://www.stuckpets.com/adopt/lokmark
148,pollypiper,Blue,Grarrl,https://www.stuckpets.com/adopt/pollypiper
149,rugino,Blue,Grarrl,https://www.stuckpets.com/adopt/rugino
150,Sir_deep,Blue,Grarrl,https://www.stuckpets.com/adopt/Sir_deep
151,Speckled_Dream,Blue,Grarrl,https://www.stuckpets.com/adopt/Speckled_Dream
152,Star_85_20,Blue,Grarrl,https://www.stuckpets.com/adopt/Star_85_20
153,stealthy13,Blue,Grarrl,https://www.stuckpets.com/adopt/stealthy13
154,sugar_pie_princess,Blue,Grarrl,https://www.stuckpets.com/adopt/sugar_pie_princess
155,summer_3103,Blue,Grarrl,https://www.stuckpets.com/adopt/summer_3103
156,sweetpea2,Blue,Grarrl,https://www.stuckpets.com/adopt/sweetpea2
157,twisted_bob,Blue,Grarrl,https://www.stuckpets.com/adopt/twisted_bob
158,curly21,Green,Grarrl,https://www.stuckpets.com/adopt/curly21
159,Gustavo69,Green,Grarrl,https://www.stuckpets.com/adopt/Gustavo69
160,KRICTOX,Green,Grarrl,https://www.stuckpets.com/adopt/KRICTOX
161,mr_got,Green,Grarrl,https://www.stuckpets.com/adopt/mr_got
162,roky_48,Green,Grarrl,https://www.stuckpets.com/adopt/roky_48
163,rudeRicky,Green,Grarrl,https://www.stuckpets.com/adopt/rudeRicky
164,Snuffles257,Green,Grarrl,https://www.stuckpets.com/adopt/Snuffles257
165,Soul_101,Green,Grarrl,https://www.stuckpets.com/adopt/Soul_101
166,Speckled_Fish,Green,Grarrl,https://www.stuckpets.com/adopt/Speckled_Fish
167,speckred,Green,Grarrl,https://www.stuckpets.com/adopt/speckred
168,spicirex,Green,Grarrl,https://www.stuckpets.com/adopt/spicirex
169,Steam_Train,Green,Grarrl,https://www.stuckpets.com/adopt/Steam_Train
170,treecko652,Green,Grarrl,https://www.stuckpets.com/adopt/treecko652
171,TWreks,Green,Grarrl,https://www.stuckpets.com/adopt/TWreks
172,bitered,Red,Grarrl,https://www.stuckpets.com/adopt/bitered
173,Blazinkong,Red,Grarrl,https://www.stuckpets.com/adopt/Blazinkong
174,Brave_32,Red,Grarrl,https://www.stuckpets.com/adopt/Brave_32
175,Coconut_surprise,Red,Grarrl,https://www.stuckpets.com/adopt/Coconut_surprise
176,dustin_self,Red,Grarrl,https://www.stuckpets.com/adopt/dustin_self
177,munchy325,Red,Grarrl,https://www.stuckpets.com/adopt/munchy325
178,Roky129,Red,Grarrl,https://www.stuckpets.com/adopt/Roky129
179,RufusElliott,Red,Grarrl,https://www.stuckpets.com/adopt/RufusElliott
180,simon241,Red,Grarrl,https://www.stuckpets.com/adopt/simon241
181,speckled_5,Red,Grarrl,https://www.stuckpets.com/adopt/speckled_5
182,spencermack,Red,Grarrl,https://www.stuckpets.com/adopt/spencermack
183,Spooky_cool,Red,Grarrl,https://www.stuckpets.com/adopt/Spooky_cool
184,star_light_man,Red,Grarrl,https://www.stuckpets.com/adopt/star_light_man
185,stem111,Red,Grarrl,https://www.stuckpets.com/adopt/stem111
186,turtle43,Red,Grarrl,https://www.stuckpets.com/adopt/turtle43
187,twisted_reX,Red,Grarrl,https://www.stuckpets.com/adopt/twisted_reX
188,TyrannusRed,Red,Grarrl,https://www.stuckpets.com/adopt/TyrannusRed
189,KrisYoung,Starry,Grarrl,https://www.stuckpets.com/adopt/KrisYoung
190,BungerRoyale,Blue,Skeith,https://www.stuckpets.com/adopt/BungerRoyale
191,Freak504,Blue,Skeith,https://www.stuckpets.com/adopt/Freak504
192,fred04,Blue,Skeith,https://www.stuckpets.com/adopt/fred04
193,funky711,Blue,Skeith,https://www.stuckpets.com/adopt/funky711
194,Lucifer0909,Blue,Skeith,https://www.stuckpets.com/adopt/Lucifer0909
195,Lucifer_Brock,Blue,Skeith,https://www.stuckpets.com/adopt/Lucifer_Brock
196,snuffie64,Blue,Skeith,https://www.stuckpets.com/adopt/snuffie64
197,steve276,Blue,Skeith,https://www.stuckpets.com/adopt/steve276
198,tony234,Blue,Skeith,https://www.stuckpets.com/adopt/tony234
199,claw144,Green,Skeith,https://www.stuckpets.com/adopt/claw144
200,Mrs_Justin,Green,Skeith,https://www.stuckpets.com/adopt/Mrs_Justin
201,munchy170,Green,Skeith,https://www.stuckpets.com/adopt/munchy170
202,Speckled_307,Green,Skeith,https://www.stuckpets.com/adopt/Speckled_307
203,spinner295,Green,Skeith,https://www.stuckpets.com/adopt/spinner295
204,steve744,Green,Skeith,https://www.stuckpets.com/adopt/steve744
205,TyReeeee,Green,Skeith,https://www.stuckpets.com/adopt/TyReeeee
206,Buckleyface,Red,Skeith,https://www.stuckpets.com/adopt/Buckleyface
